,Tweet,HS_Gender
11,user user user user banci kaleng malu pe anyaan 2 nyungsep koe user uniform resource locator,1
14,user bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1
18,cowok gantle gantle nama banci,1
62,user kali gue gemar korea pop omong teman teman gue idol gue banci homo,1
70,user bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1
91,transgender anjing uniform resource locator,1
112,user anak pecun hobi zina haha,1
129,user user nya menteri suha o homo,1
149,user bicara mulut sepe i banci beli kaca lihat bro,1
151,user tunggu komando imam bejat cabul user tai bir bawa ulama dasar banj sempak,1
157,user user kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1
228,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan user,1
276,kayak jablay grand theft auto jemput pakai mobil,1
293,user ih banci selotipan,1
301,ahok verbal keras lampias lari lelaki lunak,1
331,user sih bejat cabul user kecut sih onta iya,1
339,user user user user user yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek otak,1
342,user langsung tag ainya berani ya bera i banci,1
345,user kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
389,user banci kampung heeee,1
400,perjaka jual sok sok an booking tante idiot anjir,1
439,user user user umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
513,user kontol iya hapus,1
563,user bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
575,user user perek sih doll ya,1
650,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
651,user eh dungu mention mention gue puter alun gue forward berita analisa kelompok manusia homo cerdas wkwk wkwk wkwk,1
684,user user homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,1
688,user alah kontol,1
752,nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator,1
872,pecun kelas teri nih uniform resource locator,1
1023,user hormat lacur pakde iblis betina kerja sebar hoaks nista sih hidup,1
1067,user user jijik manusia homo,1
1081,user kayak kontol,1
1104,user user user user user user user kno gue bilang bencong hati makan duit perintah sah ganti dasar pancasila negara khilafah bencong nama,1
1124,user cewek manusia homo,1
1136,tentara saudi suriah isis banci lari libya uniform resource locator uniform resource locator,1
1320,najis banget erel bencong,1
1340,user eto homo,1
1363,user wisma darul aman kerja banci politik,1
1367,user manusia homo,1
1376,user user hmmm cium aroma aroma jablay bangsat iya pergi,1
1399,user user user mas manusia homo suka pentil mimi peri,1
1433,perempuan kayak mending mati deh jelek sok make up a ist,1
1462,user bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
1468,user user user user nih utang era jokowi bencong diam sih gembel warung internet banci kaleng,1
1483,user user jomlo jablay kayak perek,1
1518,user user user kaum bani cabul bohong makan bohong pulang donatur azab allah,1
1607,user user monyet ekor banci plonga plongo,1
1646,lihat tampang tampang banci lgbt uniform resource locator,1
1652,sesat lurus allah subhanahu wa taala ajar bangun keluarga cocok cocok penis,1
1675,user user muka cabul muka sih banci berani anonim,1
1690,user user user user user user indonesia lenyap 2030 puja tolol ya tolol bencong anak nya bencong,1
1699,user dasar wkwk manusia homo,1
1781,user banci kaleng,1
1795,user user ancam ancam kayak banci jancuk,1
1800,user tulis spo ifitas salah spo ivitas ahai banci kaleng kena goreng malu sih gembel warung internet,1
1806,user bangsat banci,1
1828,user balas banget ih sih pecun gerak cepat ah,1
1865,sadar wanita indonesia muhammad bejat khadijah tinggal perempuan budak seks,1
1933,user twit bikin warganet suuzan ngentot,1
2077,user fi nih cewek burik now bangsat nyata hode burik,1
2134,user user bacot pecun,1
2159,user user user wajah anak lihat banget ya penuh dendam benci anak anak makan hasil uang haram kayak banci rumpi maki gue makan tai istri a anak anak o makan bangkai uang haram,1
2196,user user user bilang otak gue belatung sarang ah eh banci isi otak hati isi belatung bangkai benci akut,1
2233,user user user user user bencong hasil selingkuh maknya perek gerwani kuda prabowo lahir sih onta bencong akun abal abal ngeooaahahahaaaaa xf,1
2346,lipstick sapu tangan bora hati mampus malu makan cipok,1
2436,user ih kontol,1
2488,user koar koar nya gera umat eh ngebacotnya dukung politik dasar bani cabul otak 212 monas,1
2550,ayo muslim hantam lgbt rakyat paham buang islam user parmusi dorong rancang undang undang anti paham lgbt,1
2554,ya gue kakak laki mulut lemas banget kayak banci marah mentolo gue cangkem e,1
2559,gampang banget sih orang puji kayak hormat haha tolol,1
2591,sih tabib cabul teriak teriak karuan sambi kocok tongkol gambar bugil pecun hoaalaaaah bayang dasar binatang uniform resource locator,1
2623,senang hati sih cewek lepas sih mbak angkut mbak gang bang perkosa kunyuk selesai sih mbak mobil marah pergi bilang perkosa,1
2679,user banci gentleman orang,1
2699,user user user user puisi bajing wajah setan mulut iblis manusia binatang mesum seni monyet,1
2707,user user user lekong,1
2744,user user user user user user user user user user user user user user user user sih banci akun palsu bilang utang perintah era user,1
2760,user jablay anjir,1
2775,user cowok kasih gue bangsat lo bejat cewek astaga,1
2801,user ate bocah kontol goblok sontoloyo kepala gatel sial anjing berengsek,1
2909,user user anti kritik kontol mu bangsat orang idiot tau hate speech,1
2917,user agel perek user,1
2952,gue kenal kayak kenal dasar banci,1
2990,user user perek,1
3010,user user kristen lesbi ya,1
3021,suka payudara dasar ajar tampar pamer puji berengsek,1
3026,user on the way manusia homo,1
3034,user user user user user user dasar tau fiksi unduh buku gampang dasar perek harga ratus,1
3159,nih bicara orang ingus bicara nya ngawur nya gue blok banci uniform resource locator,1
3174,user bangkai yen cabul,1
3188,user user user aduh bencong user serang cong rumpi deh lonte laki laki dapur cong banci kalah anak duda designer ln x,1
3195,indonesia alhamdulillah ya allah selamat anak anak thailand thai selamat manusia manusia kafir tuhan kontol,1
3200,user bodoh question ngentot puasa goblok,1
3213,user user user user user user user user user user user bani coli beda junjung kawan kawan haha,1
3309,suasana hati kerja ubah nih banci,1
3320,user user user user rahasia bong koruptor rampok laku maksiat laku bisnis maksiat kaum lgbt jilat dukun sesat dukun cabul nabila bla bla gabung bani cebong,1
3326,partai adil sejahtera ai lacur beyek germo partai adil sejahtera sadar susilo bambang yudhoyono otak kriminalisasi lhi politik islam khianat prabowo hatta langgar pilih presiden 2014 hancur citra islam 2010 2018 partai adil sejahtera susup antek be,1
3416,user otak tara gender telanjang dasar mesum cacat,1
3419,user udik kasihan tidur,1
3425,ajar aji ayat cocok cocok penis penggal kafir pahala biadab,1
3429,user anjing tai goblok idiot bangsat monyet babi fuck kont kangen goblok iya tau kasar banget maaf,1
3451,cowok hobi swafoto beda nya lekong amp banci kaleng,1
3489,user lihat salah dukung mafia koruptor nista agama gerombol banci titot laku bidik arah,1
3546,cowok berengsek ya,1
3586,allah subhanahu wa taala benci kafir ajar cocok cocok penis istri gemar azab janji rampas,1
3613,user ahmad dhani hormat babi anjing kontol lonte tunggu nya karier mu habis,1
3755,nama rizieq shihab status sangka konten pornografi duga dukung anies sandi,1
3775,user eh banci teriak kafir kafir suka coli muncrat teriak mulu berisik cong dasar mulut banci yahhhh,1
3836,miris cowok be iga anjing anjing anjing anjing anjing cowok sanggup ya mulut rumpi diam kayak congor bebek film nya habis anjiiirr kesal ubun ubun tahan hati enak emosi,1
3846,user cina pasrah becek suka teriak suka ngewe squi,1
3901,user user user user bani selangkang cabul,1
3904,blok sih bencong anjing main unggah screenshot gue bencong tolol v laki ketemu adu jotos nyinyir unggah hasil screenshot v dasar bencong kontol,1
3949,user ah dasar jablay murah,1
3967,user ha orang kayak pecun dang aduh banget orang kayak bacot sesak napas,1
4012,user mulut banci urus dasar dasar iblis ujud manusia muncul jelang pilih kepala daerah syaraf user,1
4038,user user user babi sipit banci pakai akun fake hina babi,1
